product_id,store_code,store_name,product_name,sku,niche_term,product_category,regular_price,sale_price,discount_amount,discount_percentage
25703,"RBN","Rabbona","Gorra Camionera Manchester United","RBN-MU-G1-D1-CNN","Manchester United","Adult","90.00","59.99","30.01","33.34"
25705,"RBN","Rabbona","Gorra Camionera Manchester United - Niño","MUG2D1CNN","Manchester United","Caps","90.00","59.99","30.01","33.34"
25705,"RBN","Rabbona","Gorra Camionera Manchester United - Niño","MUG2D1CBB","Manchester United","Caps","90.00","59.99","30.01","33.34"
25713,"RBN","Rabbona","Gorra Camionera Manchester United - Negra con Blanco","MUG1D1CNB","Manchester United","Adult","100.00","69.99","30.01","30.01"
25714,"RBN","Rabbona","Gorra Camionera Manchester United - Negra","MUG1D1CNN","Manchester United","Adult","100.00","69.99","30.01","30.01"
25717,"RBN","Rabbona","Gorra Camionera Manchester United - Blanca","MUG1D1CBB","Manchester United","Adult","100.00","69.99","30.01","30.01"
25773,"RBN","Rabbona","Polera True Red Devils - Roja","MUD3CRTL","Manchester United","Adult","210.00","107.00","103.00","49.05"
25773,"RBN","Rabbona","Polera True Red Devils - Roja","MUD3CRTM","Manchester United","Adult","210.00","107.00","103.00","49.05"
25800,"RBN","Rabbona","Polera True Red Devils - Blanca","MUD3CBTXL","Manchester United","Adult","210.00","107.00","103.00","49.05"
25801,"RBN","Rabbona","Polera True Red Devils - Negra","MUD3CNTL","Manchester United","Adult","210.00","107.00","103.00","49.05"
25801,"RBN","Rabbona","Polera True Red Devils - Negra","MUD3CNTM","Manchester United","Adult","210.00","107.00","103.00","49.05"
25801,"RBN","Rabbona","Polera True Red Devils - Negra","MUD3CNTXL","Manchester United","Adult","210.00","107.00","103.00","49.05"
25819,"RBN","Rabbona","Polera Man Utd Icon","RBN-MU-D4-CN-TL","Manchester United","Adult","190.00","145.00","45.00","23.68"
25819,"RBN","Rabbona","Polera Man Utd Icon","RBN-MU-D4-CN-TM","Manchester United","Adult","190.00","145.00","45.00","23.68"
25820,"RBN","Rabbona","Polera Man Utd Icon - Niño","MUD4CBT6","Manchester United","Combos &amp; Ofertas","160.00","89.99","70.01","43.76"
25820,"RBN","Rabbona","Polera Man Utd Icon - Niño","MUD4CNT12","Manchester United","Combos &amp; Ofertas","160.00","89.99","70.01","43.76"
25820,"RBN","Rabbona","Polera Man Utd Icon - Niño","MUD4CBT14","Manchester United","Combos &amp; Ofertas","160.00","89.99","70.01","43.76"
25820,"RBN","Rabbona","Polera Man Utd Icon - Niño","MUD4CPT14","Manchester United","Combos &amp; Ofertas","160.00","89.99","70.01","43.76"
25820,"RBN","Rabbona","Polera Man Utd Icon - Niño","MUD4CBT10","Manchester United","Combos &amp; Ofertas","160.00","89.99","70.01","43.76"
25820,"RBN","Rabbona","Polera Man Utd Icon - Niño","MUD4CNT14","Manchester United","Combos &amp; Ofertas","160.00","89.99","70.01","43.76"
25865,"RBN","Rabbona","Polera Man Utd Icon - Blanca","MUD4CBTL","Manchester United","Adult","190.00","99.99","90.01","47.37"
25865,"RBN","Rabbona","Polera Man Utd Icon - Blanca","MUD4CBT3XL","Manchester United","Adult","190.00","99.99","90.01","47.37"
25865,"RBN","Rabbona","Polera Man Utd Icon - Blanca","MUD4CBTM","Manchester United","Adult","190.00","99.99","90.01","47.37"
25865,"RBN","Rabbona","Polera Man Utd Icon - Blanca","MUD4CBTXS","Manchester United","Adult","190.00","99.99","90.01","47.37"
25893,"RBN","Rabbona","Polera Man Utd Icon - Negra","MUD4CNTL","Manchester United","Adult","190.00","99.99","90.01","47.37"
25893,"RBN","Rabbona","Polera Man Utd Icon - Negra","MUD4CNTM","Manchester United","Adult","190.00","99.99","90.01","47.37"
25893,"RBN","Rabbona","Polera Man Utd Icon - Negra","MUD4CNTS","Manchester United","Adult","190.00","99.99","90.01","47.37"
25893,"RBN","Rabbona","Polera Man Utd Icon - Negra","MUD4CNT3XL","Manchester United","Adult","190.00","99.99","90.01","47.37"
25893,"RBN","Rabbona","Polera Man Utd Icon - Negra","MUD4CNTXS","Manchester United","Adult","190.00","99.99","90.01","47.37"
25893,"RBN","Rabbona","Polera Man Utd Icon - Negra","MUD4CNTXL","Manchester United","Adult","190.00","99.99","90.01","47.37"
25893,"RBN","Rabbona","Polera Man Utd Icon - Negra","MUD4CNT2XL","Manchester United","Adult","190.00","99.99","90.01","47.37"
25894,"RBN","Rabbona","Polera Man Utd Icon - Roja","MUD4CRTS","Manchester United","Adult","190.00","99.99","90.01","47.37"
25894,"RBN","Rabbona","Polera Man Utd Icon - Roja","MUD4CRTM","Manchester United","Adult","190.00","99.99","90.01","47.37"
25894,"RBN","Rabbona","Polera Man Utd Icon - Roja","MUD4CRTXL","Manchester United","Adult","190.00","99.99","90.01","47.37"
25894,"RBN","Rabbona","Polera Man Utd Icon - Roja","MUD4CRTL","Manchester United","Adult","190.00","99.99","90.01","47.37"
26227,"RBN","Rabbona","Manga Larga Man Utd X","MUML1CBTL","Manchester United","Adult","220.00","185.00","35.00","15.91"
26227,"RBN","Rabbona","Manga Larga Man Utd X","MUML1CNTL","Manchester United","Adult","220.00","185.00","35.00","15.91"
26279,"RBN","Rabbona","Manga Larga Man Utd Icon","MUML4CPTL","Manchester United","Adult","210.00","169.99","40.01","19.05"
26279,"RBN","Rabbona","Manga Larga Man Utd Icon","MUML4CNTS","Manchester United","Adult","210.00","169.99","40.01","19.05"
26297,"RBN","Rabbona","Sudadera Man Utd X","MUSD1CNTXL","Manchester United","Adult","270.00","229.99","40.01","14.82"
26297,"RBN","Rabbona","Sudadera Man Utd X","MUSD1CNTL","Manchester United","Adult","270.00","229.99","40.01","14.82"
26313,"RBN","Rabbona","Sudadera The Theater of Dreams","MUSD2CNTM","Manchester United","Adult","280.00","235.00","45.00","16.07"
26331,"RBN","Rabbona","Sudadera True Red Devils","MUSD3CNTXL","Manchester United","Adult","250.00","209.99","40.01","16.00"
