customer_key,channel_name,niche_term,orders_count,total_spend
"04962d43a85bbb27bff6112c5f30413fe83f84359f76a0355d2104de211c626d","Point of Sale","Oriente Petrolero",1,"699.93"
"049dadb1f7992f42b84a090554a52936a7e1cfb90fc419c82287288b3c0169cf","Manual Admin","Oriente Petrolero",1,"119.98"
"049dadb1f7992f42b84a090554a52936a7e1cfb90fc419c82287288b3c0169cf","Online Web","Oriente Petrolero",1,"1809.92"
"04b0bf8326f8fc2fadafd8a058636636ac309d6321c3486f610423a08882bf47","Other Channels","Oriente Petrolero",1,"909.93"
"04d40ed1f616f98dfc503fd4448a684dadbf5225eaa172d674afbc415ae88568","Online Web","Oriente Petrolero",1,"189.98"
"04e867dd9aa3e0a58ddc6a2405978743ee3acadbf2a4cb581028942f15932c50","Online Web","Oriente Petrolero",1,"393.96"
"04f0a0a6099e2210980d12f40ce620f100df9165d7eb64b8689d73212c87e89c","Other Channels","Oriente Petrolero",1,"779.94"
"04f8ce3b4ca4d397bbd40ee807fdb0778f863e33f82d2b3d863f619d9d8ddac7","Manual Admin","Chelsea",1,"59.99"
"04f8ce3b4ca4d397bbd40ee807fdb0778f863e33f82d2b3d863f619d9d8ddac7","Manual Admin","Oriente Petrolero",1,"539.91"
"04f8ce3b4ca4d397bbd40ee807fdb0778f863e33f82d2b3d863f619d9d8ddac7","Manual Admin","Other Trends",1,"59.99"
"050da561fcd50d6bb0ce4b622fca5f7bd13fbbad9a24d1d1b6aa28e1d83e1ef5","Manual Admin","Formula 1",1,"59.99"
"050da561fcd50d6bb0ce4b622fca5f7bd13fbbad9a24d1d1b6aa28e1d83e1ef5","Manual Admin","Real Madrid",1,"69.99"
"051f75581ccef94f080aa36652d337ac73e9c01a9e40a3eecc01262eeabf65d3","Other Channels","Liverpool",2,"1890.00"
"053a74e7d462a8c5297e6615765ce919d80ba42a936becae21862f91ae711ab6","Online Web","Oriente Petrolero",1,"399.96"
"0543afb0bf99474fff8af96845759ee62ff26af7adc37702f9aea51ab6403bdb","Manual Admin","Oriente Petrolero",4,"2269.88"
"0559367ca1b452889e3f0334e0671c25fe782fba9e6e50ac9bac84b3c7227a15","Manual Admin","Oriente Petrolero",1,"979.93"
"055991318e32cadd631b001cd3d94acac1e895b5d874b8f95db482fe8037bba7","Manual Admin","Bayern Münich",1,"99.98"
"056c3601d8f14bf1ce40a95d8f02ee03406d29ad110816bb444cbba1389a3262","Manual Admin","Oriente Petrolero",1,"359.95"
"056c3601d8f14bf1ce40a95d8f02ee03406d29ad110816bb444cbba1389a3262","Online Web","Oriente Petrolero",1,"959.84"
"058af35d0a0994ad50b4efbc85058faf60147ab11092e876221b83991c3456b4","Manual Admin","Croacia",1,"1103.96"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Online Web","Breaking Bad Universe",1,"139.99"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Online Web","Juventus",1,"139.99"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Online Web","Manchester United",1,"899.94"
