order_id,order_date,store_code,customer_key,channel_name,season_type,sport_event_name,niche_term,product_category,line_total,quantity
22497,2020-11-25T00:14:46.000Z,"PA","bc6fbe2d25138f1fa69b3147b37050d14433be1751a6e8d9ea58270d0de84503","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Women","69.99","1.000"
22506,2020-11-25T06:28:27.000Z,"PA","c61c678367b3aca35041ebe5e7b6bf76faf48d9953db27e2c2b5a89ade04ef35","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","147.00","1.000"
22506,2020-11-25T06:28:27.000Z,"PA","c61c678367b3aca35041ebe5e7b6bf76faf48d9953db27e2c2b5a89ade04ef35","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.99","1.000"
22509,2020-11-25T08:52:52.000Z,"PA","4cca971f96fabb8bb2d374c3e9368a26b21e723df2460066d5aa909437fb0884","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","174.00","1.000"
22530,2020-11-25T21:47:29.000Z,"PA","4d798f8ebb34299c447a92d61907469e1c30910724bcbebba0498db46dfa58bd","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","29.00","1.000"
22531,2020-11-25T21:52:51.000Z,"PA","6290166bc3ed45442e2c50ae84a0ad15cb0b43986043781bdefaf4be3721d3d4","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","299.00","1.000"
22532,2020-11-25T21:57:23.000Z,"PA","","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Poleras","69.99","1.000"
22533,2020-11-25T23:48:05.000Z,"PA","84525cccda1b9532380651b8ff78970ab72ffa4a651526595bac3c130d6e2c61","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.00","1.000"
22536,2020-11-26T01:41:18.000Z,"PA","bb0f4f8bdbd1611ab494ee959d4b84bd8e9efabdf2faa9c28a93e5050c8d5fa1","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
22536,2020-11-26T01:41:18.000Z,"PA","bb0f4f8bdbd1611ab494ee959d4b84bd8e9efabdf2faa9c28a93e5050c8d5fa1","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","42.00","1.000"
22536,2020-11-26T01:41:18.000Z,"PA","bb0f4f8bdbd1611ab494ee959d4b84bd8e9efabdf2faa9c28a93e5050c8d5fa1","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","68.00","2.000"
22536,2020-11-26T01:41:18.000Z,"PA","bb0f4f8bdbd1611ab494ee959d4b84bd8e9efabdf2faa9c28a93e5050c8d5fa1","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.00","1.000"
22536,2020-11-26T01:41:18.000Z,"PA","bb0f4f8bdbd1611ab494ee959d4b84bd8e9efabdf2faa9c28a93e5050c8d5fa1","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","68.00","2.000"
22536,2020-11-26T01:41:18.000Z,"PA","bb0f4f8bdbd1611ab494ee959d4b84bd8e9efabdf2faa9c28a93e5050c8d5fa1","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.99","1.000"
22545,2020-11-26T23:36:38.000Z,"PA","","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","45.00","1.000"
22545,2020-11-26T23:36:38.000Z,"PA","","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Women","70.00","1.000"
22546,2020-11-26T23:39:29.000Z,"PA","0ef9bef64d9e0e3c331cddf145b89717c3947945be9e1d8ef993e602473a6268","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.00","1.000"
22546,2020-11-26T23:39:29.000Z,"PA","0ef9bef64d9e0e3c331cddf145b89717c3947945be9e1d8ef993e602473a6268","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.00","1.000"
22547,2020-11-26T23:40:55.000Z,"PA","be4a6b8f67c1f62c70a9685fef8f94983c7517db96c4a236611678adef78e2a5","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","147.00","1.000"
22548,2020-11-27T01:35:25.000Z,"PA","bb0f4f8bdbd1611ab494ee959d4b84bd8e9efabdf2faa9c28a93e5050c8d5fa1","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
